EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	04:53:35	0	0.1000	0.042398985151223624		_	_	_	_	0.038414400070905685	0.8857	0.8862	0.7952	0.8859	_	0.8955	0.8957	0.8109	0.8956
1	05:00:39	0	0.1000	0.035355969453002054		_	_	_	_	0.036250803619623184	0.8846	0.885	0.7934	0.8848	_	0.895	0.8953	0.8102	0.8951
2	05:07:47	0	0.1000	0.03216026734029805		_	_	_	_	0.03355243057012558	0.8894	0.8899	0.8012	0.8896	_	0.8985	0.8988	0.8159	0.8986
3	05:14:56	0	0.1000	0.029454193104357356		_	_	_	_	0.03054586797952652	0.8925	0.8929	0.8062	0.8927	_	0.9032	0.9035	0.8237	0.9033
4	05:22:00	0	0.1000	0.027253923897854377		_	_	_	_	0.03530694171786308	0.8758	0.8762	0.7793	0.876	_	0.8862	0.8864	0.7958	0.8863
5	05:29:07	0	0.1000	0.024961454120082764		_	_	_	_	0.027270978316664696	0.8997	0.9001	0.818	0.8999	_	0.9121	0.9124	0.8387	0.9122
6	05:36:14	0	0.1000	0.02326722669699919		_	_	_	_	0.024571344256401062	0.9047	0.9051	0.8263	0.9049	_	0.914	0.9143	0.8419	0.9141
7	05:43:22	0	0.1000	0.021906615428875887		_	_	_	_	0.023557420819997787	0.9106	0.911	0.8363	0.9108	_	0.9179	0.9182	0.8485	0.918
8	05:50:32	0	0.1000	0.02057447289971729		_	_	_	_	0.02351471781730652	0.9095	0.9099	0.8344	0.9097	_	0.9162	0.9165	0.8456	0.9163
9	05:57:40	0	0.1000	0.019589407730747896		_	_	_	_	0.023598792031407356	0.913	0.9135	0.8403	0.9132	_	0.9226	0.9229	0.8567	0.9227
